date, symbol, under, expiration, strike, put/call, bid, ask, price, volume, open interest, implied vol, delta, gamma, rho, theta, vega, nonstd
2015-01-05,SPY7  150117P00163000,SPY,2015-01-17,163,P,0,4.99,7.78,0,490,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117P00164000,SPY,2015-01-17,164,P,0,4.99,0.78,0,1345,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117P00165000,SPY,2015-01-17,165,P,0,4.99,0.05,0,697,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117P00170000,SPY,2015-01-17,170,P,0.05,4.99,1.46,0,1009,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117P00175000,SPY,2015-01-17,175,P,0.05,4.99,0.53,0,2457,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117P00180000,SPY,2015-01-17,180,P,0,4.99,0.01,0,356,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117P00181000,SPY,2015-01-17,181,P,0,4.99,0,0,0,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117P00182000,SPY,2015-01-17,182,P,0,4.99,0.01,0,207,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117P00183000,SPY,2015-01-17,183,P,0,4.99,0,0,0,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117P00184000,SPY,2015-01-17,184,P,0,4.99,0,0,0,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117P00185000,SPY,2015-01-17,185,P,0,4.99,0.5,0,135,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117P00186000,SPY,2015-01-17,186,P,0,4.99,0,0,0,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117P00187000,SPY,2015-01-17,187,P,0,4.99,0,0,0,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117P00188000,SPY,2015-01-17,188,P,0,4.99,0.56,0,39,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117P00189000,SPY,2015-01-17,189,P,0,4.99,0,0,0,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117P00190000,SPY,2015-01-17,190,P,0,4.99,0.24,0,296,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117P00191000,SPY,2015-01-17,191,P,0,4.99,5.65,0,19,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117P00192000,SPY,2015-01-17,192,P,0,4.99,2.77,0,5,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117P00193000,SPY,2015-01-17,193,P,0,4,4.21,0,4,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117P00194000,SPY,2015-01-17,194,P,0,4.99,0.6,1,1,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117P00195000,SPY,2015-01-17,195,P,0.51,2.93,3.19,0,319,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117P00196000,SPY,2015-01-17,196,P,0,4.99,2.98,0,1,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117P00197000,SPY,2015-01-17,197,P,0,4.99,3.27,0,5,0.113826,0,0,0,0,0,7
